name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,test,Pokedex Entry
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,50,6400,70,455,45,Humanshape Pokémon,35,1000000,1.4,65,Rougelaルージュラ,0.0,124,115,95,95,ice,psychic,40.6,1,0,,"Its strange cries sound like human language. There are some musicians who compose songs for Jynx to sing. Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks. In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice. The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base."
Electabuzz,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,83,6400,70,490,45,Electric Pokémon,57,1000000,1.1,65,Elebooエレブー,75.4,125,95,85,105,electric,,30.0,1,0,,"While it’s often blamed for power outages, the truth is the cause of outages is more often an error on the part of the electric company. If a major power outage occurs, it is certain that this Pokémon has eaten electricity at a power plant. Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity. With the coming of a storm, many of these Pokémon will gather under tall trees and sit there waiting for lightning to strike."
Magmar,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,6400,70,495,45,Spitfire Pokémon,57,1000000,1.3,65,Booberブーバー,75.4,126,100,85,93,fire,,44.5,1,0,,"The hotter the place, the better they feel. Magmar in Alola are said to be hardier than those in other areas. Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire. Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp. These Pokémon’s bodies are constantly burning. Magmar are feared as one of the causes behind fires."
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,155,6400,70,600,45,Stagbeetle Pokémon,120,1250000,1.5,65,Kailiosカイロス,50.0,127,65,90,105,bug,,55.0,1,0,,"Although it’s tough, it can’t handle cold well. When night falls, it buries itself in leafage and sleeps. Grips its prey in its pincers and squeezes hard! It can’t move if it’s cold, so it lives in warm places. These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender. This Pokémon clamps its pincers down on its prey and then either splits the prey in half or flings it away."
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5120,70,490,45,Wild Bull Pokémon,95,1250000,1.4,75,Kentaurosケンタロス,100.0,128,40,70,110,normal,,88.4,1,0,,"The climate seems to be related to the reason Tauros in Alola are a little calmer than those in other regions. A rowdy Pokémon with a lot of stamina. Once running, it won’t stop until it hits something. When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed. The Tauros of the Galar region are volatile in nature, and they won’t allow people to ride on their backs."
Magikarp,"['Swift Swim', 'Rattled']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10,1280,70,200,255,Fish Pokémon,55,1250000,0.9,20,Koikingコイキング,50.0,129,15,20,80,water,,10.0,1,0,,"Thanks to their strong hold on life, dirty water doesn’t bother them at all. They live in waters all over the world! Famous for being very unreliable. It can be found swimming in seas, lakes, rivers and shallow puddles. It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world. This weak and pathetic Pokémon gets easily pushed along rivers when there are strong currents."
Gyarados,"['Intimidate', 'Moxie']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,155,1280,70,640,45,Atrocious Pokémon,109,1250000,6.5,95,Gyaradosギャラドス,50.0,130,70,130,81,water,flying,235.0,1,0,,"The energy from evolution stimulated its brain cells strongly, causing it to become very ferocious. Brutally vicious and enormously destructive. Known for totally destroying cities in ancient times. It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets. Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,85,10240,70,535,45,Transport Pokémon,80,1250000,2.5,130,Laplaceラプラス,50.0,131,85,95,60,water,ice,220.0,1,0,,"They’ve been so cherished that there’s now an overabundance. The fish Pokémon population has declined in waters with too many Lapras. A gentle soul that can understand human speech. It can ferry people across the sea on its back. A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it. Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch."
Ditto,"['Limber', 'Imposter']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48,5120,70,288,35,Transform Pokémon,48,1000000,0.3,48,Metamonメタモン,,132,48,48,48,normal,,4.0,1,0,,"It transforms into whatever it sees. If the thing it’s transforming into isn’t right in front of it, Ditto relies on its memory—so sometimes it fails. When it spots an enemy, its body transfigures into an almost-perfect copy of its opponent. It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes. When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly."
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,8960,70,325,45,Evolution Pokémon,50,1000000,0.3,55,Eievuiイーブイ,88.1,133,45,65,55,normal,,6.5,1,0,,"Its genes are easily influenced by its surroundings. Even its face starts to look like that of its Trainer. It can evolve into a variety of forms. Eevee’s genes are the key to solving the mysteries of Pokémon evolution. It has the ability to alter the composition of its body to suit its surrounding environment. Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
Vaporeon,"['Water Absorb', 'Hydration']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,8960,70,525,45,Bubble Jet Pokémon,60,1000000,1.0,130,Showersシャワーズ,88.1,134,110,95,65,water,,29.0,1,0,,"It detects nearby moisture with its fin. When its fin begins trembling rapidly, that means rain will fall in a few hours. Its cell structure is similar to water molecules. It melts into the water and becomes invisible. When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours. Its body’s cellular structure is similar to the molecular composition of water. It can melt invisibly in water."
Jolteon,"['Volt Absorb', 'Quick Feet']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,8960,70,525,45,Lightning Pokémon,60,1000000,0.8,65,Thundersサンダース,88.1,135,110,95,130,electric,,24.5,1,0,,"Its fur stands on end, becoming like needles it fires at enemies. Once they’re weakened, it finishes them off with a 10,000 volt shock. A sensitive Pokémon that easily becomes sad or angry. Every time its mood changes, it charges power. If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes. It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts."
Flareon,"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,130,8960,70,525,45,Flame Pokémon,60,1000000,0.9,65,Boosterブースター,88.1,136,95,110,65,fire,,25.0,1,0,,"The flame chamber inside its body ignites when Flareon gets agitated, reaching temperatures of up to 1,650 degrees Fahrenheit. It has a flame chamber inside its body. It inhales, then breathes out fire that is over 3,000 degrees Fahrenheit. Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit. It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit."
Porygon,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,395,45,Virtual Pokémon,70,1000000,0.8,65,Porygonポリゴン,,137,85,75,40,normal,,36.5,1,0,,"It was built 20 years ago by scientists who dreamed of exploring space. Their dreams have yet to come true. The only Pokémon that people anticipate can fly into space. None has managed the feat yet, however. State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming. In recent years, this species has been very helpful in cyberspace. These Pokémon will go around checking to make sure no suspicious data exists."
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,40,7680,70,355,45,Spiral Pokémon,100,1000000,0.4,35,Omniteオムナイト,88.1,138,90,55,35,rock,water,7.5,1,0,,"It was restored from an ancient fossil. Those Helix Fossils are excavated from areas that were once oceans long, long ago. An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about. Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem. This Pokémon is a member of an ancient, extinct species. Omanyte paddles through water with its 10 tentacles, looking like it’s just drifting along."
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,60,7680,70,495,45,Spiral Pokémon,125,1000000,1.0,70,Omstarオムスター,88.1,139,115,70,55,rock,water,35.0,1,0,,"It wraps its prey in its tentacles to immobilize them and then finishes them off with its sharp fangs. Its sharp beak rings its mouth. Its shell was too big for it to move freely, so it became extinct. Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food. Omastar’s sharp fangs could crush rock, but the Pokémon can attack only the prey that come within reach of its tentacles."
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,80,7680,70,355,45,Shellfish Pokémon,90,1000000,0.5,30,Kabutoカブト,88.1,140,55,45,55,rock,water,11.5,1,0,,"This Pokémon became extinct everywhere, except in a few areas. It protects itself with its hard shell. A Pokémon that was recovered from a fossil. It used the eyes on its back while hiding on the seafloor. This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder. While some say this species has gone extinct, Kabuto sightings are apparently fairly common in some places."
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,115,7680,70,495,45,Shellfish Pokémon,105,1000000,1.3,60,Kabutopsカブトプス,88.1,141,65,70,80,rock,water,40.5,1,0,,"It swims at speeds of roughly 29 knots, quickly closing in on its prey and slashing into them with its scythes to finish them off. A slim and fast swimmer. It sliced its prey with its sharp sickles and drank the body fluids. Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon. The cause behind the extinction of this species is unknown. Kabutops were aggressive Pokémon that inhabited warm seas."
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,135,8960,70,615,45,Fossil Pokémon,85,1250000,1.8,80,Pteraプテラ,88.1,142,70,95,150,rock,flying,59.0,1,0,,"It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow. A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber. This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen. Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon."
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,10240,70,540,25,Sleeping Pokémon,65,1250000,2.1,160,Kabigonカビゴン,88.1,143,65,110,30,normal,,460.0,1,0,,"It has no interest in anything other than eating. Even if you climb up on its stomach while it’s napping, it doesn’t seem to mind at all! Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach. It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep. This Pokémon’s stomach is so strong, even eating moldy or rotten food will not affect it."
Articuno,"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,20480,35,580,3,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,,144,95,125,85,ice,flying,55.4,1,1,,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall. A legendary bird Pokémon. It freezes water that is contained in winter air and makes it snow. It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it. This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost."
Zapdos,"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,,145,125,90,100,electric,flying,52.6,1,1,,"Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts. This legendary bird Pokémon is said to appear when the sky turns dark and lightning showers down. This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds. Zapdos is a legendary bird Pokémon. It’s said that when Zapdos rubs its feathers together, lightning will fall immediately after."
Moltres,"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,20480,35,580,3,Flame Pokémon,90,1250000,2.0,90,Fireファイヤー,,146,125,85,90,fire,flying,60.0,1,1,,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself. A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red. It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow. There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains."
Dratini,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,64,10240,35,300,45,Dragon Pokémon,45,1250000,1.8,41,Miniryuミニリュウ,50.0,147,50,50,50,dragon,,3.3,1,0,,"It sheds its skin—almost on a daily basis—and grows larger. Its skin is soft just after it’s been shed. Long thought to be a myth, this Pokémon’s existence was only recently confirmed by a fisherman who caught one. Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times. This Pokémon was long considered to be no more than a myth. The small lump on a Dratini’s forehead is actually a horn that’s still coming in."
Dragonair,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,84,10240,35,420,45,Dragon Pokémon,65,1250000,4.0,61,Hakuryuハクリュー,50.0,148,70,70,70,dragon,,16.5,1,0,,"Some say that if you see it at the start of the year, flying through the sky and twisting its body, you’ll be healthy all year long. According to a witness, its body was surrounded by a strange aura that gave it a mystical look. This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind. This Pokémon gathers power in the orbs on its tail and controls the weather. When enshrouded by an aura, Dragonair has a mystical appearance."
Dragonite,"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,134,10240,35,600,45,Dragon Pokémon,95,1250000,2.2,91,Kairyuカイリュー,50.0,149,100,100,80,dragon,flying,210.0,1,0,,"You’ll often hear tales of this kindhearted Pokémon rescuing people or Pokémon that are drowning. It is said that this Pokémon lives somewhere in the sea and that it flies. However, these are only rumors. It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them. This Pokémon is known as the Sea Incarnate. Figureheads that resemble Dragonite decorate the bows of many ships."
Mewtwo,"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,30720,0,780,3,Genetic Pokémon,70,1250000,2.0,106,Mewtwoミュウツー,,150,194,120,140,psychic,,122.0,1,1,,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart. Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different. Created from the DNA of Mew, this Pokémon is a dangerous combination of overwhelming power and a savage heart. The research efforts of a certain scientist ultimately resulted in this Pokémon. Its powers are dedicated to battling."
Mew,['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,,151,100,100,100,psychic,,4.0,1,1,,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people. When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen. It’s very intelligent and can use an incredible variety of moves. Many believe that all other Pokémon are descendants of this one. This mythical Pokémon is said to be extinct, but sightings of it are still being reported to this day."
Chikorita,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,49,5120,70,318,45,Leaf Pokémon,65,1059860,0.9,45,Chicoritaチコリータ,88.1,152,49,65,45,grass,,6.4,2,0,,"It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe. A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up sun rays. It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe. In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around."
Bayleef,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,62,5120,70,405,45,Leaf Pokémon,80,1059860,1.2,60,Bayleafベイリーフ,88.1,153,63,80,60,grass,,15.8,2,0,,The buds that ring its neck give off a spicy aroma that perks people up. A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health. The buds that ring its neck give off a spicy aroma that perks people up. Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
Meganium,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,82,5120,70,525,45,Herb Pokémon,100,1059860,1.8,80,Meganiumメガニウム,88.1,154,83,100,80,grass,,100.5,2,0,,"Its breath has the fantastic ability to revive dead plants and flowers. The aroma that rises from its petals contains a substance that calms aggressive feelings. Meganium’s breath has the power to revive dead grass and plants. It can make them healthy again. The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit."
Cyndaquil,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,Fire Mouse Pokémon,43,1059860,0.5,39,Hinoarashiヒノアラシ,88.1,155,60,50,65,fire,,7.9,2,0,,"It has a timid nature. If it is startled, the flames on its back burn more vigorously. It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection. It has a timid nature. If it is startled, the flames on its back burn more vigorously. Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
Quilava,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,Volcano Pokémon,58,1059860,0.9,58,Magmarashiマグマラシ,88.1,156,80,65,80,fire,,19.0,2,0,,"It intimidates foes with the heat of its flames. The fire burns more strongly when it readies to fight. Before battle, it turns its back on its opponent to demonstrate how ferociously its fire blazes. Be careful if it turns its back during battle. It means that it will attack with the fire on its back. Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames."
Typhlosion,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84,5120,70,534,45,Volcano Pokémon,78,1059860,1.7,78,Bakphoonバクフーン,88.1,157,109,85,100,fire,,79.5,2,0,,"It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself. If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames. It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions. Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders."
Totodile,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,314,45,Big Jaw Pokémon,64,1059860,0.6,50,Waninokoワニノコ,88.1,158,44,48,43,water,,9.5,2,0,,"It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful. It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves. Its powerful, well-developed jaws are capable of crushing anything. Even its Trainer must be careful. Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
Croconaw,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80,5120,70,405,45,Big Jaw Pokémon,80,1059860,1.1,65,Alligatesアリゲイツ,88.1,159,59,63,58,water,,25.0,2,0,,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place. If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth. Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place. Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
Feraligatr,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,530,45,Big Jaw Pokémon,100,1059860,2.3,85,Ordileオーダイル,88.1,160,79,83,78,water,,88.8,2,0,,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey. It usually moves slowly, but it goes at blinding speed when it attacks and bites prey. When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up. Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
Sentret,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,3840,70,215,255,Scout Pokémon,34,1000000,0.8,35,Otachiオタチ,50.0,161,35,45,20,normal,,6.0,2,0,,"It has a very nervous nature. It stands up high on its tail so it can scan wide areas. When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail. It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind. When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
Furret,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,3840,70,415,90,Long Body Pokémon,64,1000000,1.8,85,Ootachiオオタチ,50.0,162,45,55,90,normal,,32.5,2,0,,"The mother puts its offspring to sleep by curling up around them. It corners foes with speed. The mother puts its offspring to sleep by curling up around them. It corners foes with speed. It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter. Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,262,255,Owl Pokémon,30,1000000,0.7,60,Hohoホーホー,50.0,163,36,56,50,normal,flying,21.2,2,0,,"Every day, it tilts its head in the same rhythm. A long time ago, people raised these Pokémon to serve as clocks. It cries out at the same time every day. A long time ago, people cherished it and considered it a divine messenger sent to tell the time. It always stands on one foot. It changes feet so fast, the movement can rarely be seen. It begins to hoot at the same time every day. Some Trainers use them in place of clocks."
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50,3840,70,452,90,Owl Pokémon,50,1000000,1.6,100,Yorunozukuヨルノズク,50.0,164,86,96,70,normal,flying,40.8,2,0,,"With eyes that can see in pitch-darkness, it never lets its prey escape. Some even call it “the emperor of dark nights.” When it turns its head entirely upside down, you know it’s troubled by something. If you don’t leave it be, it will peck you. Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light. When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power."
Ledyba,"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20,3840,70,265,255,Five Star Pokémon,30,800000,1.0,40,Redibaレディバ,50.0,165,40,80,55,bug,flying,10.8,2,0,,"They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another. They communicate with one another using bodily fluids that give off odors. When they’re angry, their odor smells sour. This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively. These very cowardly Pokémon join together and use Reflect to protect their nest."
